model,feature,label,r2,mae,pearson,dyn
mean_revert,hr_mean,心率均值,0.8634585939931836,2.6301717523487382,0.9308144377644166,0.9793033591404867
mean_revert,hr_std,心率波动,0.14882653593814765,0.8472963829257009,0.4075221967666433,0.5388348599284262
mean_revert,eye_pupil_filtered_mean,瞳孔直径,0.8301614216766975,0.07455146490317373,0.918018697455728,0.9031240676125752
mean_revert,eye_aoi_coverage_ratio,AOI覆盖,0.09209186621193799,0.06531897520771046,0.3508635105806697,0.45398033303824675
mean_revert,log_action_density_win,操作密度,-0.1306576472736245,0.08126028434512729,0.14515927853712343,0.5305222128180008
mean_revert,log_action_count_win,操作次数,-0.13065764727362428,2.4378085303538195,0.14515927853712335,0.5305222128180008
mean_revert,eeg_frontal_theta_alpha_z_within_subject,额区θ/α,0.13604029210182256,0.6767641792257795,0.4483874027571049,0.6154602914021119
mean_revert,blink_rate_per_min,眨眼频率,0.32868960235195177,6.073975080513419,0.5917720010484648,0.5769029579816148
direct,hr_mean,心率均值,0.7474436228236035,3.7105475413173243,0.8666991393281442,0.8112690127515211
direct,hr_std,心率波动,-0.1271217767855768,1.0156014720399613,0.09073351894931954,0.4562654028213169
direct,eye_pupil_filtered_mean,瞳孔直径,0.7113135319577347,0.10843290256710364,0.8437882639292376,0.8191647036022404
direct,eye_aoi_coverage_ratio,AOI覆盖,-0.04075201438625742,0.08112168506537722,0.07168864954742801,0.28407132829294207
direct,log_action_density_win,操作密度,-0.16083018658169124,0.09942148497104765,0.04585960158882904,0.3474143353718214
direct,log_action_count_win,操作次数,-0.08875558336916445,2.9179437599677147,0.12664319422242457,0.27821394586855025
direct,eeg_frontal_theta_alpha_z_within_subject,额区θ/α,0.075033170508094,0.727244321712472,0.31815513114166494,0.4445713914339872
direct,blink_rate_per_min,眨眼频率,0.22697124632970167,7.404443274509197,0.48370679985851533,0.5569897010512633
resid,hr_mean,心率均值,0.8247357218580391,3.077989633824859,0.909348073611953,0.9525342371538862
resid,hr_std,心率波动,0.02775997152537313,0.9199330787489605,0.2927820768168014,0.5334973689241317
resid,eye_pupil_filtered_mean,瞳孔直径,0.811210323678279,0.08279412085559194,0.9014215637232745,0.9076135527020341
resid,eye_aoi_coverage_ratio,AOI覆盖,0.07769567190739457,0.07388498663055751,0.3061008738046807,0.4303832800910166
resid,log_action_density_win,操作密度,-0.1867716807534303,0.09461091597987642,0.14146490185371172,0.5623784686679599
resid,log_action_count_win,操作次数,-0.15367096522975698,2.8371634643972015,0.15928651934685847,0.5165863832840177
resid,eeg_frontal_theta_alpha_z_within_subject,额区θ/α,0.09595129215723042,0.6954923590429175,0.3980348020250482,0.6410380005372275
resid,blink_rate_per_min,眨眼频率,0.27481488129081366,6.926772743452999,0.5505097300051008,0.6887594963328545
smooth,hr_mean,心率均值,0.7372961289101561,3.783634776371059,0.8622775132953364,0.7844462082660489
smooth,hr_std,心率波动,-0.11585122735242237,1.012161351318502,0.08687102641197939,0.4353403262578314
smooth,eye_pupil_filtered_mean,瞳孔直径,0.6791445276661824,0.11168959274844573,0.8255356416158847,0.7803307578668657
smooth,eye_aoi_coverage_ratio,AOI覆盖,-0.04227759813503629,0.08148835139911041,0.0784542064504853,0.297780404825176
smooth,log_action_density_win,操作密度,-0.14412533158910046,0.09832968610609495,0.04886739400846234,0.33661605774964753
smooth,log_action_count_win,操作次数,-0.07069749861440755,2.8863025048909923,0.1315136258962849,0.259684960661213
