version,model,ratio,nasa_r2,nasa_mae,s_r2,s_mae,oracle_nasa_r2,early_nasa_r2,n,mod_r2_眼动,mod_r2_脑电,mod_r2_心率,mod_r2_行为
v1_stage_late_pool,persist_early,,0.1503780461101265,1.1160839373503275,0.960549605297842,0.03348251812050983,0.5279207150231725,0.12862639001047393,82,0.45500501662869464,0.423648181058987,0.20837633203314548,-1.796760342931488
v1_stage_late_pool,persist_lastwin_tile,,-0.14755722698474827,1.3787889278031946,0.9467156123490068,0.04136366783409585,0.5279207150231725,0.12862639001047393,82,0.18602526807012718,-0.04553097100772791,-1.366522953335468,-13.674901985447478
v1_stage_late_pool,dummy_mean,,0.1513437241769392,1.1074681086268852,0.9605944445121732,0.03322404325880656,0.5279207150231725,0.12862639001047393,82,-0.4937936678007252,-0.006702405246571032,-2.6721182217563126,-1.4452499150517641
v1_stage_late_pool,ridge,,0.12419579118933999,1.1331477659504587,0.9593338877824358,0.033994432978513775,0.5279207150231725,0.12862639001047393,82,-1.189014506891791,-0.5067546585844057,-0.41054193840366526,-1.9227507427696329
v1_stage_late_pool,ridge_scaled,,0.17341764103315704,1.1679633974059813,0.9616194000569463,0.03503890192217944,0.5279207150231725,0.12862639001047393,82,-0.3404654898176472,-0.8467818444529119,-0.29455101513791687,-1.7815482772261433
v1_stage_late_pool,pls6,,0.20138764131357278,1.1025171115146424,0.9629181277390996,0.03307551334543926,0.5279207150231725,0.12862639001047393,82,-0.02325467159021598,0.12946888003328044,-4.001173755699858,-1.3932036452258298
v1_stage_late_pool,extra_trees,,0.20125727882831912,1.0702631310718818,0.9629120746333929,0.032107893932156455,0.5279207150231725,0.12862639001047393,82,-0.29343535334115944,-0.0027958058946355884,-2.0929731751992073,-1.4129281771245714
v1_stage_late_pool,knn5,,0.19557961675398083,1.0742043353677766,0.9626484444284615,0.0322261300610333,0.5279207150231725,0.12862639001047393,82,-0.02675562971310654,0.09543991714740963,-1.932888414864231,-1.418702807302303
v2_direct_full,persist_early,,0.12862639001047393,1.1633249058956057,0.9595396132482861,0.03489974717686816,0.5279207150231725,0.12862639001047393,82,-0.24311883647053212,-0.35221201395248397,-2.7837233893835838,-2.679326432165375
v2_direct_full,persist_lastwin_tile,,-0.14755722698474827,1.3787889278031946,0.9467156123490068,0.04136366783409585,0.5279207150231725,0.12862639001047393,82,0.18602526807012718,-0.04553097100772791,-1.366522953335468,-13.674901985447478
v2_direct_full,dummy_mean,,-0.21310228397080122,1.32256547299827,0.9436721665469808,0.03967696418994813,0.5279207150231725,0.12862639001047393,82,-0.04008029804706946,-0.03991602351846727,-0.14552306794212852,-0.031007961143949228
v2_direct_full,ridge,,-0.054773545369772414,1.265085829951899,0.9510238259549192,0.03795257489855697,0.5279207150231725,0.12862639001047393,82,-0.07654220114208174,-0.3724555186702797,-0.3824520108368121,-0.038390937337484325
v2_direct_full,ridge_scaled,,0.20617561553570152,1.1192434099631583,0.9631404471742576,0.03357730229889474,0.5279207150231725,0.12862639001047393,82,0.30935080103618096,0.008387996536083917,-0.053520386885083135,0.10851903368172773
v2_direct_full,pls6,,-0.0444326650997271,1.281041460890111,0.9515039828133351,0.03843124382670334,0.5279207150231725,0.12862639001047393,82,0.16257385306441613,-0.02914236242571367,-0.6509151008049633,0.14147918528852774
v2_direct_full,extra_trees,,-0.21534184822281754,1.3306722235873463,0.943568177127571,0.0399201667076204,0.5279207150231725,0.12862639001047393,82,0.08141007536658952,-0.090704406726551,-0.18712186405963602,-0.005094833238319583
v2_direct_full,knn5,,-0.15949515359669508,1.2766295396215548,0.9461613000285559,0.03829888618864666,0.5279207150231725,0.12862639001047393,82,0.20419022944839568,0.08308916176243855,0.011045676812593141,0.1206046363964169
