model,feature,label,r2,mae,pearson,dyn
persist_last,hr_mean,心率均值,0.8252914478950453,2.9123003531106164,0.9192348128321014,1.056931957638387
persist_last,hr_std,心率波动,-0.27366389352206344,1.0410244230883408,0.2736652349647288,0.8392844613332598
persist_last,eye_pupil_filtered_mean,瞳孔直径,0.7711310013722477,0.08814912613994304,0.8837383068228618,0.9701711820458416
persist_last,eye_aoi_coverage_ratio,AOI覆盖,-0.10533646734181401,0.0757001551019722,0.32112539922537336,0.7623602614749838
persist_last,log_action_density_win,操作密度,-1.4563353197927427,0.10392373729393792,0.05306103936283908,1.2511908707586696
persist_last,log_action_count_win,操作次数,-1.4563353197927422,3.117712118818139,0.053061039362839145,1.2511908707586699
persist_last,eeg_frontal_theta_alpha_z_within_subject,额区θ/α,-0.3777134185208948,0.8500119322988073,0.299320416002394,0.9797823620897356
persist_last,blink_rate_per_min,眨眼频率,0.2283416407641904,7.181545267814821,0.6119186318175874,0.9895887976097777
last_cycle,hr_mean,心率均值,0.8040803483641098,3.1414691829114574,0.9090395358390145,1.0564515346913634
last_cycle,hr_std,心率波动,-0.30508241139767134,1.0739965630396717,0.21399035979190917,0.7933372823659359
last_cycle,eye_pupil_filtered_mean,瞳孔直径,0.7707747412027813,0.09124014689949865,0.8853322959270812,0.9884740394596182
last_cycle,eye_aoi_coverage_ratio,AOI覆盖,-0.16693662525925435,0.0796786900578139,0.29997562610426903,0.803584469267432
last_cycle,log_action_density_win,操作密度,-1.5063830718849593,0.1072997313951651,-0.013986178661606907,1.2106785733622767
last_cycle,log_action_count_win,操作次数,-1.5063830718849593,3.2189919418549535,-0.013986178661606914,1.210678573362277
last_cycle,eeg_frontal_theta_alpha_z_within_subject,额区θ/α,-0.35822541526758567,0.837928231809118,0.32490305874845227,0.9970074457824016
last_cycle,blink_rate_per_min,眨眼频率,0.18159788146091682,7.264022752409543,0.5463186335698352,0.8861724760890056
mean_revert,hr_mean,心率均值,0.8634585939931836,2.6301717523487382,0.9308144377644166,0.9793033591404867
mean_revert,hr_std,心率波动,0.14882653593814765,0.8472963829257009,0.4075221967666433,0.5388348599284262
mean_revert,eye_pupil_filtered_mean,瞳孔直径,0.8301614216766975,0.07455146490317373,0.918018697455728,0.9031240676125752
mean_revert,eye_aoi_coverage_ratio,AOI覆盖,0.09209186621193799,0.06531897520771046,0.3508635105806697,0.45398033303824675
mean_revert,log_action_density_win,操作密度,-0.1306576472736245,0.08126028434512729,0.14515927853712343,0.5305222128180008
mean_revert,log_action_count_win,操作次数,-0.13065764727362428,2.4378085303538195,0.14515927853712335,0.5305222128180008
mean_revert,eeg_frontal_theta_alpha_z_within_subject,额区θ/α,0.13604029210182256,0.6767641792257795,0.4483874027571049,0.6154602914021119
mean_revert,blink_rate_per_min,眨眼频率,0.32868960235195177,6.073975080513419,0.5917720010484648,0.5769029579816148
