method,sample_id,S_true,S_ridge,dS,hr_std_hat,hr_std_true,hr_dyn,jump,level_err,hr_pearson
pool_anchor,subject_02_task_1,0.5675,0.5801091641187668,0.01260916411876678,2.5830035343106785,3.136499679665857,0.8235306200798176,0.0,5.4065213588039285,0.006743701636539138
pool_anchor,subject_02_task_3,0.6275000000000001,0.6361123770475388,0.0086123770475387,2.2194946016730683,6.115186301268871,0.3629479935195195,0.0,7.570378203439873,0.026901855387450883
pool_anchor,subject_02_task_5_6,0.6619999999999999,0.6788943535089492,0.0168943535089493,2.165766791549857,2.8251978575658097,0.7665894188911736,0.0,1.2613378370402728,-0.3202938779516662
pool_anchor,subject_07_task_2,0.819,0.7933207088708877,0.02567929112911227,1.6330852462172314,2.458081861197127,0.6643738214553007,0.0,2.33103646675076,-0.1945775926182188
pool_anchor,subject_07_task_3,0.528,0.5271508753299713,0.0008491246700287336,2.2291648479157264,1.502969052316854,1.483174140976281,0.0,7.20447374444646,-0.06915611986322667
pool_anchor,subject_07_task_5_6,0.514,0.5418163892626762,0.027816389262676156,1.6862757054330888,3.9412186029731138,0.4278564248840343,0.0,6.272280269219394,0.2060925131212896
pool_anchor,subject_12_task_2,0.8049999999999999,0.7873994269967078,0.017600573003292097,1.6716005177253228,3.0221327056393075,0.5531194937518518,0.0,6.723204554870165,-0.22189937513792038
pool_anchor,subject_12_task_3,0.522,0.5759279489517212,0.05392794895172115,2.336720880475319,2.2607164575608594,1.033619613076231,0.0,7.496985014788869,-0.08235343509200041
pool_anchor,subject_12_task_5_6,0.49,0.5366591793298721,0.04665917932987207,2.1875355664636524,2.396035195041265,0.9129813960417074,0.0,0.3836655595352312,-0.17101622291552881
pool_anchor,subject_16_task_3,0.86,0.885238316655159,0.025238316655158965,1.2624750823228588,1.9422934496813617,0.649991934035535,0.0,3.020903145674481,-0.47469860646271606
pool_anchor,subject_16_task_5,0.42533333333333334,0.42307889362176254,0.0022544397115707993,1.7620436766972694,0.7576948653094615,2.3255319972668507,0.0,3.170524190874019,0.34294763635307446
pool_anchor,subject_16_task_5_6,0.4179999999999999,0.4223140433430671,0.004314043343067175,2.3407292592493505,1.6849667430457116,1.3891842405900865,0.0,3.820531887150821,0.2961656471407478
pool_anchor,subject_16_task_5_6_repeat_1,0.4179999999999999,0.4007730290293693,0.01722697097063064,1.8627030933021131,2.8953237073827385,0.6433488186895817,0.0,0.061638468139250335,0.42398405813431633
pool_anchor,subject_23_task_3,0.6655,0.6363073736429214,0.029192626357078533,1.6946170401759404,1.6777217693969264,1.0100703590943947,0.0,3.297704544368557,0.29173065865046366
pool_anchor,subject_23_task_5,0.5886666666666667,0.571225149432818,0.01744151723384868,1.7472813598139472,2.4517545691601854,0.7126656863071729,0.0,3.32414862060466,-0.31506479281159044
pool_anchor,subject_23_task_5_6,0.594,0.6069072410464287,0.012907241046428708,2.2317693027516463,1.1965872698850057,1.8651120066779614,0.0,2.2372779081411522,-0.04471754420839394
pool_anchor,subject_23_task_5_6_repeat_1,0.604,0.6286787688732147,0.02467876887321474,1.705084277744794,1.444624246941953,1.1802960316852182,0.0,0.133531930691845,-0.31013224834056785
encdec_mse,subject_02_task_1,0.5675,0.5801091641187668,0.01260916411876678,0.017937215294274573,3.136499679665857,0.005718864042414585,0.4911644853680315,4.428141742515848,-0.2861672098157857
encdec_mse,subject_02_task_3,0.6275000000000001,0.6361123770475388,0.0086123770475387,0.05663063801414804,6.115186301268871,0.009260656197799061,0.3602463292926643,5.743289608510651,0.3797621053666906
encdec_mse,subject_02_task_5_6,0.6619999999999999,0.6788943535089492,0.0168943535089493,0.024475487201356186,2.8251978575658097,0.0086632824845094,0.09058998556501763,0.8809284036397287,0.4232296872052301
encdec_mse,subject_07_task_2,0.819,0.7933207088708877,0.02567929112911227,0.03970715293192448,2.458081861197127,0.016153714567931146,0.1694792990746805,1.1217494100989285,-0.12420498283918847
encdec_mse,subject_07_task_3,0.528,0.5271508753299713,0.0008491246700287336,0.08340753671190819,1.502969052316854,0.05549517871201817,2.4616669833160216,2.037610408486657,0.3424905317338082
encdec_mse,subject_07_task_5_6,0.514,0.5418163892626762,0.027816389262676156,0.02943604227905391,3.9412186029731138,0.007468766686060183,0.47373472178233555,4.847226558173105,-0.29231367391884167
encdec_mse,subject_12_task_2,0.8049999999999999,0.7873994269967078,0.017600573003292097,0.10187163914937296,3.0221327056393075,0.033708525976438745,0.3172224002580464,4.780545569634683,0.24849103186389523
encdec_mse,subject_12_task_3,0.522,0.5759279489517212,0.05392794895172115,0.03441383643156103,2.2607164575608594,0.015222535388832257,2.656729025330179,1.7455657953519648,0.40647992164283825
encdec_mse,subject_12_task_5_6,0.49,0.5366591793298721,0.04665917932987207,0.21519413615743047,2.396035195041265,0.08981259361492744,0.2759519829580199,3.3213921857095983,-0.33547628745618174
encdec_mse,subject_16_task_3,0.86,0.885238316655159,0.025238316655158965,0.02870351014027509,1.9422934496813617,0.014778153114403206,0.7502043434771792,2.711909436724085,0.011426782718904677
encdec_mse,subject_16_task_5,0.42533333333333334,0.42307889362176254,0.0022544397115707993,0.03887956540732614,0.7576948653094615,0.05131295812373913,0.21207536373843539,2.108084387583091,0.04763495696150534
encdec_mse,subject_16_task_5_6,0.4179999999999999,0.4223140433430671,0.004314043343067175,0.03258324580071171,1.6849667430457116,0.01933761941700921,0.4164313484551059,0.6148088010988175,0.9061180756801441
encdec_mse,subject_16_task_5_6_repeat_1,0.4179999999999999,0.4007730290293693,0.01722697097063064,0.02676073962983363,2.8953237073827385,0.009242745282390845,0.4594874791291659,0.8409702411859712,0.48321189822081356
encdec_mse,subject_23_task_3,0.6655,0.6363073736429214,0.029192626357078533,0.10594419878104826,1.6777217693969264,0.06314765659126803,0.9558529712373769,2.248397125214055,0.05911199192013452
encdec_mse,subject_23_task_5,0.5886666666666667,0.571225149432818,0.01744151723384868,0.0023806949120068295,2.4517545691601854,0.0009710168106720958,0.11554698414416009,2.14289651328842,-0.03364106038286186
encdec_mse,subject_23_task_5_6,0.594,0.6069072410464287,0.012907241046428708,0.19398732368545307,1.1965872698850057,0.16211715346338598,0.6439588491808195,0.24185351473150263,0.012572459883838406
encdec_mse,subject_23_task_5_6_repeat_1,0.604,0.6286787688732147,0.02467876887321474,0.12242431202914783,1.444624246941953,0.0847447434451234,0.3374826189972566,1.4362523120643402,-0.2648313142896912
encdec_diff,subject_02_task_1,0.5675,0.5801091641187668,0.01260916411876678,0.018155420702046794,3.136499679665857,0.005788433763237821,0.4902289651192717,4.4278750400900435,-0.28562552727306106
encdec_diff,subject_02_task_3,0.6275000000000001,0.6361123770475388,0.0086123770475387,0.054494645299713075,6.115186301268871,0.00891136304372151,0.3519697948262035,5.737444974507227,0.38235988507811397
encdec_diff,subject_02_task_5_6,0.6619999999999999,0.6788943535089492,0.0168943535089493,0.0235819390388951,2.8251978575658097,0.008347004402637928,0.08367755117122044,0.8745612548013213,0.4336662050621342
encdec_diff,subject_07_task_2,0.819,0.7933207088708877,0.02567929112911227,0.03951809834669385,2.458081861197127,0.016076803140591844,0.15969130554182698,1.1328101891891293,-0.12713812788291437
encdec_diff,subject_07_task_3,0.528,0.5271508753299713,0.0008491246700287336,0.08186866751179665,1.502969052316854,0.05447129256645817,2.47693304585664,2.027634012311296,0.3319694135501154
encdec_diff,subject_07_task_5_6,0.514,0.5418163892626762,0.027816389262676156,0.028739380484924155,3.9412186029731138,0.0072920036433209165,0.47035773033405803,4.851755859821594,-0.3085350495539299
encdec_diff,subject_12_task_2,0.8049999999999999,0.7873994269967078,0.017600573003292097,0.10143313981543392,3.0221327056393075,0.03356342998787747,0.33403794892487326,4.8016596958091355,0.24333526922810034
encdec_diff,subject_12_task_3,0.522,0.5759279489517212,0.05392794895172115,0.033534916803057466,2.2607164575608594,0.014833756149544523,2.641179138572056,1.760434202189714,0.4186928619962423
encdec_diff,subject_12_task_5_6,0.49,0.5366591793298721,0.04665917932987207,0.20577828446904012,2.396035195041265,0.08588283011705422,0.2295143111638538,3.3404589959960163,-0.3508363329203499
encdec_diff,subject_16_task_3,0.86,0.885238316655159,0.025238316655158965,0.029161923326047695,1.9422934496813617,0.01501416955336491,0.7528758470442085,2.708806265409592,0.013684901821087588
encdec_diff,subject_16_task_5,0.42533333333333334,0.42307889362176254,0.0022544397115707993,0.03832762966081128,0.7576948653094615,0.05058451747500248,0.22248512618772054,2.1189392556288027,0.045177447232378494
encdec_diff,subject_16_task_5_6,0.4179999999999999,0.4223140433430671,0.004314043343067175,0.03232488602995178,1.6849667430457116,0.019184287150783227,0.41905595413446406,0.6124974340786906,0.9076009211870197
encdec_diff,subject_16_task_5_6_repeat_1,0.4179999999999999,0.4007730290293693,0.01722697097063064,0.026227065310165724,2.8953237073827385,0.009058422432250161,0.4417463020915733,0.8575073518217096,0.48438177905211277
encdec_diff,subject_23_task_3,0.6655,0.6363073736429214,0.029192626357078533,0.10145130658969996,1.6777217693969264,0.06046968444682624,0.9416515443033404,2.239538441392966,0.03503045841845354
encdec_diff,subject_23_task_5,0.5886666666666667,0.571225149432818,0.01744151723384868,0.0015713296698646733,2.4517545691601854,0.0006409000652923877,0.10033201130863745,2.158433777932686,0.16202191831594723
encdec_diff,subject_23_task_5_6,0.594,0.6069072410464287,0.012907241046428708,0.1865595486881175,1.1965872698850057,0.15590968734520247,0.6108611512470077,0.24983403172014107,0.010175327222728316
encdec_diff,subject_23_task_5_6_repeat_1,0.604,0.6286787688732147,0.02467876887321474,0.1225261082521997,1.444624246941953,0.08481520898144726,0.31981952430008675,1.4502593290362995,-0.2638431776487181
encdec_wave,subject_02_task_1,0.5675,0.5801091641187668,0.01260916411876678,0.02637139755470139,3.136499679665857,0.0084079069548739,1.006127985760699,4.918955060806951,-0.177636136664658
encdec_wave,subject_02_task_3,0.6275000000000001,0.6361123770475388,0.0086123770475387,0.06578605368890321,6.115186301268871,0.010757816743485764,0.5592885986325626,5.925326738953501,0.3441785798784154
encdec_wave,subject_02_task_5_6,0.6619999999999999,0.6788943535089492,0.0168943535089493,0.0422462509886168,2.8251978575658097,0.014953377769967018,0.767021672957398,0.0011412322450468082,0.40129509856887907
encdec_wave,subject_07_task_2,0.819,0.7933207088708877,0.02567929112911227,0.02139008345602198,2.458081861197127,0.008701941016148764,0.5134914294054767,0.7864151751086581,-0.03348397862930746
encdec_wave,subject_07_task_3,0.528,0.5271508753299713,0.0008491246700287336,0.12925768254084075,1.502969052316854,0.08600155903514588,1.9595763239988742,2.4092481162911383,0.3349366635869988
encdec_wave,subject_07_task_5_6,0.514,0.5418163892626762,0.027816389262676156,0.028309842908643267,3.9412186029731138,0.007183017662470476,0.39817041643973994,4.925569908838966,-0.35735900767110534
encdec_wave,subject_12_task_2,0.8049999999999999,0.7873994269967078,0.017600573003292097,0.11248260060475136,3.0221327056393075,0.03721960985454492,0.3802126069330285,4.065227179191069,0.054527461472869264
encdec_wave,subject_12_task_3,0.522,0.5759279489517212,0.05392794895172115,0.05020328301883489,2.2607164575608594,0.022206802020157977,1.8264139803769694,2.545633821866886,0.6029532129305752
encdec_wave,subject_12_task_5_6,0.49,0.5366591793298721,0.04665917932987207,0.28610485617162384,2.396035195041265,0.11940761787208236,0.6371666404610892,3.2407636850072095,-0.3904701331108573
encdec_wave,subject_16_task_3,0.86,0.885238316655159,0.025238316655158965,0.02174670979764664,1.9422934496813617,0.011196407880204798,0.5072511827879396,2.956174395246663,0.043294584808671925
encdec_wave,subject_16_task_5,0.42533333333333334,0.42307889362176254,0.0022544397115707993,0.03366029840959586,0.7576948653094615,0.04442460877915817,0.1763776499823564,2.062206423124991,0.16929993923244785
encdec_wave,subject_16_task_5_6,0.4179999999999999,0.4223140433430671,0.004314043343067175,0.07404424306237098,1.6849667430457116,0.04394403802242989,0.7021049733276641,0.26718243774340067,0.8623653157309722
encdec_wave,subject_16_task_5_6_repeat_1,0.4179999999999999,0.4007730290293693,0.01722697097063064,0.0940965460953707,2.8953237073827385,0.03249949065468588,0.6358208030109296,0.7352969625240178,0.5323267745075361
encdec_wave,subject_23_task_3,0.6655,0.6363073736429214,0.029192626357078533,0.12982257082767165,1.6777217693969264,0.07738027390592596,0.5671730299552991,0.6991200716206691,0.021740708913691884
