sample_id,S_true,S_ridge,dS,hr_pearson,hr_dyn,hr_std_hat,jump,level_err
subject_02_task_1,0.5675,0.5801091641187668,0.01260916411876678,-0.2861672098157857,0.005718864060647853,0.017937215294274573,0.4911644853680315,4.428141742515848
subject_02_task_3,0.6275000000000001,0.6361123770475388,0.0086123770475387,0.3797621053666906,0.009260656212942763,0.05663063801414804,0.3602463292926643,5.743289608510651
subject_02_task_5_6,0.6619999999999999,0.6788943535089492,0.0168943535089493,0.4232296872052301,0.008663282515173738,0.024475487201356186,0.09058998556501763,0.8809284036397287
subject_07_task_2,0.819,0.7933207088708877,0.02567929112911227,-0.12420498283918847,0.016153714633647894,0.03970715293192448,0.1694792990746805,1.1217494100989285
subject_07_task_3,0.528,0.5271508753299713,0.0008491246700287336,0.3424905317338082,0.055495179081255175,0.08340753671190819,2.4616669833160216,2.037610408486657
subject_07_task_5_6,0.514,0.5418163892626762,0.027816389262676156,-0.29231367391884167,0.007468766705010582,0.02943604227905391,0.47373472178233555,4.847226558173105
subject_12_task_2,0.8049999999999999,0.7873994269967078,0.017600573003292097,0.24849103186389523,0.033708526087977614,0.10187163914937296,0.3172224002580464,4.780545569634683
subject_12_task_3,0.522,0.5759279489517212,0.05392794895172115,0.40647992164283825,0.015222535456167263,0.03441383643156103,2.656729025330179,1.7455657953519648
subject_12_task_5_6,0.49,0.5366591793298721,0.04665917932987207,-0.33547628745618174,0.08981259398976582,0.21519413615743047,0.2759519829580199,3.3213921857095983
subject_16_task_3,0.86,0.885238316655159,0.025238316655158965,0.011426782718904677,0.014778153190489304,0.02870351014027509,0.7502043434771792,2.711909436724085
subject_16_task_5,0.42533333333333334,0.42307889362176254,0.0022544397115707993,0.04763495696150534,0.051312958800963704,0.03887956540732614,0.21207536373843539,2.108084387583091
subject_16_task_5_6,0.4179999999999999,0.4223140433430671,0.004314043343067175,0.9061180756801441,0.01933761953177479,0.03258324580071171,0.4164313484551059,0.6148088010988175
subject_16_task_5_6_repeat_1,0.4179999999999999,0.4007730290293693,0.01722697097063064,0.48321189822081356,0.009242745314313856,0.02676073962983363,0.4594874791291659,0.8409702411859712
subject_23_task_3,0.6655,0.6363073736429214,0.029192626357078533,0.05911199192013452,0.06314765696765737,0.10594419878104826,0.9558529712373769,2.248397125214055
subject_23_task_5,0.5886666666666667,0.571225149432818,0.01744151723384868,-0.03364106038286186,0.0009710168146325934,0.0023806949120068295,0.11554698414416009,2.14289651328842
subject_23_task_5_6,0.594,0.6069072410464287,0.012907241046428708,0.012572459883838406,0.16211715481821531,0.19398732368545307,0.6439588491808195,0.24185351473150263
subject_23_task_5_6_repeat_1,0.604,0.6286787688732147,0.02467876887321474,-0.2648313142896912,0.08474474403174476,0.12242431202914783,0.3374826189972566,1.4362523120643402
