sample_id,subject,task,y_nasa_true,y_nasa_prior,y_nasa_pred,weighted_step_score,y_nasa,S_true_04,S_pred_04,S_true_05,S_pred_05,S_true_06,S_pred_06,S_true_07,S_pred_07
subject_03_task_1,3,1,5.533333333333333,5.32,5.585536487102509,1.0,5.533333333333333,0.6679999999999999,0.6648678107738495,0.7233333333333334,0.7207231756448745,0.7786666666666666,0.7765785405158996,0.834,0.8324339053869247
subject_03_task_4,3,4,5.666666666666667,5.353333333333333,4.964149633248647,0.9166666666666666,5.666666666666667,0.6266666666666667,0.6688176886717478,0.675,0.710125851670901,0.7233333333333333,0.7514340146700541,0.7716666666666666,0.7927421776692072
subject_03_task_5_6,3,56,6.0,6.402898550724637,6.9895455248113985,0.8,6.0,0.56,0.5006272685113162,0.6000000000000001,0.5505227237594301,0.64,0.600418179007544,0.6799999999999999,0.650313634255658
subject_06_task_2,6,2,5.666666666666667,4.916666666666666,4.710835839311281,0.65,5.666666666666667,0.52,0.5773498496413232,0.5416666666666667,0.5894582080344359,0.5633333333333334,0.6015665664275488,0.585,0.6136749248206615
subject_06_task_3,6,3,5.0,3.271111111111111,3.996926884121364,0.125,5.0,0.35,0.4101843869527182,0.3125,0.36265365579393183,0.275,0.31512292463514546,0.23750000000000002,0.2675921934763591
subject_06_task_5_6,6,56,6.266666666666667,6.402898550724637,6.264788479303967,0.4,6.266666666666667,0.384,0.38411269124176195,0.38666666666666666,0.38676057603480163,0.3893333333333333,0.3894084608278413,0.39199999999999996,0.392056345620881
subject_12_task_2,12,2,5.333333333333333,4.916666666666666,5.469457427660624,0.95,5.333333333333333,0.6599999999999999,0.6518325543403626,0.7083333333333333,0.7015271286169689,0.7566666666666666,0.751221702893575,0.8049999999999999,0.8009162771701812
subject_12_task_3,12,3,4.266666666666667,3.271111111111111,3.399104888505405,0.5,4.266666666666667,0.544,0.5960537066896756,0.5366666666666666,0.5800447555747297,0.5293333333333333,0.5640358044597837,0.522,0.5480268533448378
subject_12_task_5_6,12,56,7.666666666666667,6.402898550724637,6.932360828613889,0.6,7.666666666666667,0.37999999999999995,0.4240583502831667,0.41666666666666663,0.4533819585693056,0.4533333333333333,0.48270556685544447,0.49,0.5120291751415833
subject_15_task_3,15,3,2.266666666666666,3.271111111111111,3.627389739221996,1.0,2.2666666666666666,0.8640000000000001,0.7823566156466804,0.8866666666666667,0.8186305130389002,0.9093333333333333,0.8549044104311201,0.932,0.8911783078233402
subject_15_task_5,15,5,2.6,3.566666666666666,2.635497931639353,0.3333333333333333,2.6,0.5773333333333334,0.5752034574349721,0.5366666666666666,0.534891770084699,0.496,0.4945800827344259,0.45533333333333337,0.45426839538415276
subject_15_task_5_6,15,56,7.333333333333333,6.402898550724637,6.390579493476104,0.2857142857142857,7.333333333333333,0.2742857142857143,0.33085094467714804,0.2761904761904762,0.32332816818333765,0.27809523809523806,0.31580539168952726,0.28,0.30828261519571687
subject_18_task_3,18,3,3.133333333333333,3.271111111111111,3.706461559004253,1.0,3.1333333333333333,0.812,0.7776123064597449,0.8433333333333334,0.8146769220497874,0.8746666666666667,0.8517415376398298,0.906,0.8888061532298724
subject_18_task_5,18,5,3.8666666666666663,3.566666666666666,3.8445732931296033,1.0,3.8666666666666663,0.768,0.7693256024122239,0.8066666666666666,0.8077713353435199,0.8453333333333334,0.8462170682748159,0.884,0.884662801206112
subject_18_task_5_6,18,56,6.6,6.402898550724637,6.4068001338672165,0.8571428571428571,6.6,0.5468571428571429,0.5584491348251098,0.5985714285714285,0.6082314218780678,0.6502857142857142,0.6580137089310256,0.702,0.7077959959839835
subject_21_task_3,21,3,2.333333333333333,3.271111111111111,3.081570039457744,1.0,2.3333333333333335,0.8600000000000001,0.8151057976325353,0.8833333333333333,0.8459214980271128,0.9066666666666667,0.8767371984216903,0.9299999999999999,0.9075528988162677
subject_21_task_4,21,4,3.6,5.353333333333333,5.102034726937612,0.25,3.6,0.484,0.39387791638374325,0.445,0.3698982636531194,0.406,0.34591861092249554,0.367,0.3219389581918717
subject_21_task_5,21,5,2.6,3.566666666666666,3.561802409837643,0.6666666666666666,2.6,0.7106666666666667,0.652958522076408,0.7033333333333334,0.6552432128414512,0.696,0.6575279036064943,0.6886666666666666,0.6598125943715374
subject_21_task_5_6,21,56,7.133333333333334,6.402898550724637,6.908254743313443,0.5714285714285714,7.133333333333334,0.4005714285714285,0.41407614397262194,0.429047619047619,0.44030154854861353,0.45752380952380944,0.46652695312460507,0.486,0.49275235770059667
