眼动K,总特征数,Acc,Macro-F1
3,24,0.75,0.7498432601880878
4,25,0.7619047619047619,0.7630146566928175
5,26,0.75,0.7509022796838595
6,27,0.7738095238095238,0.7741406532366986
7,28,0.7619047619047619,0.7630146566928175
8,29,0.75,0.7518253451890408
10,31,0.7380952380952381,0.73876421577571
