K集,模型,总特征数,Acc,Macro-F1,fold_F1均值,fold_F1标准差
stage2_empirical,XGB_shallow,27,0.7738095238095238,0.7741406532366986,0.7773267473267473,0.09904645368666039
stage2_empirical,XGB_default,27,0.75,0.750976800976801,0.7566077930783813,0.0957914084958846
mi_derived,XGB_default,67,0.75,0.7501670843776106,0.7488829688829689,0.09770082681434777
mi_derived,XGB_shallow,67,0.75,0.7472101420325917,0.748002738002738,0.08400323870285933
stage2_empirical,ExtraTrees,27,0.7261904761904762,0.7283400038117019,0.7260113960113961,0.052393753587461976
stage2_empirical,RF_shallow,27,0.7261904761904762,0.7272730731621943,0.7277333777333778,0.09403157035744751
mi_derived,LDA,67,0.7023809523809523,0.7040270882078792,0.6784297184297186,0.0691879609631148
stage2_empirical,RF_default,27,0.7023809523809523,0.7032392894461861,0.7011318311318312,0.0767173708932319
mi_derived,GBM,67,0.7023809523809523,0.7024041585445094,0.6884348984348984,0.08427279387096923
mi_derived,ExtraTrees,67,0.6904761904761905,0.6921599240789211,0.6877877677877678,0.127913331450971
mi_derived,RF_shallow,67,0.6904761904761905,0.6918006663769375,0.6877877677877678,0.127913331450971
mi_derived,RF_default,67,0.6904761904761905,0.6911009903853106,0.6848603248603249,0.15079678058753682
mi_derived,LR_L2_strong,67,0.6904761904761905,0.6908993368261251,0.6655705514529044,0.07312054121414263
stage2_empirical,LR_L1,27,0.6785714285714286,0.6801444457182163,0.6659706959706959,0.11781725578537394
stage2_empirical,LR_L2_strong,27,0.6785714285714286,0.6799702000851426,0.6745576645576646,0.07713367168029192
mi_derived,LR_L1,67,0.6785714285714286,0.6796238244514107,0.6534460093283623,0.08412832812896172
stage2_empirical,GBM,27,0.6785714285714286,0.6785836821519249,0.6756917156917157,0.11434239857213309
stage2_empirical,LDA,27,0.6547619047619048,0.6561606762756188,0.6515022015022016,0.051279359832469285
stage2_empirical,SVC_linear,27,0.6547619047619048,0.6518045006548975,0.640946460946461,0.1339816399428456
mi_derived,GaussianNB,67,0.6428571428571429,0.6419901293850874,0.632086247086247,0.17824668573994742
mi_derived,SVC_RBF,67,0.6190476190476191,0.6205654292184176,0.611905501905502,0.11484290178696023
stage2_empirical,SVC_RBF,27,0.6071428571428571,0.6053537799300511,0.596008806008806,0.05520709107776973
mi_derived,KNN_k5,67,0.5833333333333334,0.5845096932053453,0.572898212898213,0.08169194485021568
stage2_empirical,KNN_k5,27,0.5833333333333334,0.5816499103733146,0.5814635364635363,0.1309698781006243
stage2_empirical,GaussianNB,27,0.5833333333333334,0.5698950287185581,0.5615427165427165,0.051945876416276335
mi_derived,SVC_linear,67,0.5476190476190477,0.5449198851532834,0.5281200281200281,0.1045411220480126
mi_derived,MLP_small,67,0.40476190476190477,0.39530090000414747,0.37879597984861146,0.13888091696462618
stage2_empirical,MLP_small,27,0.42857142857142855,0.354204107830552,0.3410892203771461,0.11131792881590288
