slice,note,n,nasa_r2,nasa_mae,s_r2,s_mae
V8全样本_主报,不改主报,82,0.26354708048827646,1.0563687770347285,0.9658043695536851,0.03169106331104185
V8_Early-only,,82,0.12862639001047405,1.1633249058956057,0.9595396132482861,0.03489974717686816
V8_Oracle,,82,0.5279207150231725,0.8253855720768131,0.9780799989480234,0.024761567162304394
V8_仅任务1,按任务类型,6,-0.12867597645919693,0.49871421390109605,0.9591414217364869,0.014961426417032872
V8_仅任务2,按任务类型,6,-3.126002505977185,0.9217208756340874,0.8965028091106533,0.027651626269022622
V8_仅任务3,按任务类型,18,-0.4737295316546679,1.0589537505750304,0.9682964982322064,0.03176861251725089
V8_仅任务4,按任务类型,12,-0.2708667570490082,0.6593554867638483,0.9914539225477903,0.019780664602915454
V8_仅任务5,按任务类型,11,-3.963625239565417,1.8960806861068265,0.7629880016188304,0.056882420583204814
V8_仅任务5_6,按任务类型,29,-1.765839546039048,1.043769251067063,0.9628023419224893,0.031313077532011895
V8_仅难度低,按预设难度,29,-1.6778470854456353,1.3764846571560563,0.9322405063456187,0.041294539714681694
V8_仅难度中,按预设难度,24,-0.6308435606450487,0.6847865157657199,0.9857834707516884,0.0205435954729716
V8_仅难度高,按预设难度,29,-1.765839546039048,1.043769251067063,0.9628023419224893,0.031313077532011895
V8_去掉任务5_6,高负荷情景先不报趋势,53,-0.18896812670054897,1.0632628572811873,0.9574650621137287,0.03189788571843562
V8_去掉短任务<80窗,任务够长、前半段统计稳,55,0.02176369887704699,0.9949505658583209,0.9701233716371265,0.02984851697574963
V8_去掉短任务<120窗,,41,0.15668587725667216,0.8200867521084422,0.9814148800310345,0.024602602563253268
V8_中长任务_非5_6,,33,-0.5841202993478272,0.9748824663836546,0.9675233480291779,0.029246473991509644
V8_仅低+中难度,,53,-0.18896812670054897,1.0632628572811873,0.9574650621137287,0.03189788571843562
V8_仅任务1或2,中等难度、窗口通常很长,12,-1.2266208607436009,0.7102175447675917,0.9293684091766956,0.021306526343027748
V8_仅任务3,,18,-0.4737295316546679,1.0589537505750304,0.9682964982322064,0.03176861251725089
V8_仅第1折,同一划分下的单折,17,0.4759836777218158,0.8359004282483867,0.947971092383832,0.025077012847451594
V8_仅第2折,同一划分下的单折,19,0.3723177100753662,0.9626098933972811,0.9715326063636051,0.02887829680191844
V8_仅第3折,同一划分下的单折,15,0.06268940019074298,1.2123125871022542,0.9555442951824623,0.036369377613067626
V8_仅第4折,同一划分下的单折,16,0.1749558665813854,1.3572579671939213,0.971470240827322,0.04071773901581764
V8_仅第5折,同一划分下的单折,15,0.14951520638201898,0.9481018786960181,0.8982780938581085,0.02844305636088055
V8_去掉最弱第3折,条件切片，不是新主报,67,0.31286652112222646,1.0214559837360286,0.9677696498454244,0.030643679512080853
直接XGB_观察50_定额27,前段直接猜 NASA，不还原 264,82,0.1884906466970644,1.1195650397277461,0.9623192831285484,0.03358695119183239
直接XGB_观察50_MI30,,82,0.1684020833816564,1.124304595032359,0.9613865132675958,0.03372913785097077
直接XGB_观察50_仅AOI15,,82,0.22676247045692122,1.0746429851384667,0.9640963541498246,0.032239289554154005
直接XGB50_定额27_去掉5_6,,53,-0.06888756495862602,1.0322189142119211,0.9617609041302975,0.03096656742635764
直接XGB50_定额27_窗>=80,,55,-0.10887991418694498,1.0510806132807875,0.9661333431838628,0.03153241839842364
直接XGB50_定额27_窗>=80且非5_6,,33,-0.4353659189471981,0.950234908768625,0.9705730180847889,0.02850704726305876
直接XGB50_定额27_低+中,,53,-0.06888756495862602,1.0322189142119211,0.9617609041302975,0.03096656742635764
直接XGB50_定额27_任务1或2,,12,-1.5308168138894458,0.7482055690553452,0.9197188794918227,0.02244616707166036
直接XGB_观察67_定额27,看到约三分之二再猜 NASA,82,0.3434848562022538,1.0280853426553371,0.9695161107452713,0.030842560279660116
直接XGB67_去掉5_6,,53,-0.0063983273479741865,1.006909709306633,0.9639964357485465,0.030207291279198998
沿用观察67_冻结XGB,不再预报后段,82,0.35602720856386594,1.0111946117587207,0.970098488294361,0.030335838352761626
沿用观察67_去掉5_6,,53,0.10317171521425461,0.9494517446314015,0.967916267449598,0.028483552338942047
沿用观察75_冻结XGB,,82,0.40047061010837415,0.9568939657715279,0.9721621234497498,0.028706818973145847
